R126 19953 -6.6366247542831935
R126 74632 -7.096018514833616
R126 78775 -8.971045980809428
R126 40554 -9.751522942041902
R126 86111 -10.02272531903052
R126 69725 -10.029055610543306
R126 45374 -10.346009671505957
R126 63280 -10.391003287363006
R126 46655 -10.568069247091472
R126 76216 -10.784472116736822
R126 14933 -10.80182277442157
R126 78928 -10.873896736734357
R126 59083 -11.01929220995191
R126 6940 -11.070427462931764
R126 66301 -11.105266315395479
R126 71223 -11.21175938329088
R126 4984 -11.495627768111873
R126 56499 -11.500611578377812
R126 38191 -11.602473280667681
R126 80102 -11.693055126039173
R126 67522 -11.77158922166202
R126 83225 -11.786463826282274
R126 75770 -11.797061170561054
R126 22250 -11.914155292910042
R126 60588 -12.11708216447585
R126 15228 -12.11719088468573
R126 9384 -12.127039198692078
R126 78479 -12.140439663241239
R126 45159 -12.470798620422617
